Name,Release Date,Total Tracks,Album Type
Starboy (Deluxe),2023-03-14,21,album
Live At SoFi Stadium,2023-03-03,31,album
Dawn FM (Alternate World),2022-01-07,24,album
Dawn FM,2022-01-06,16,album
After Hours (Deluxe),2020-03-20,18,album
After Hours,2020-03-20,14,album
"My Dear Melancholy,",2018-03-30,7,album
Starboy,2016-11-25,18,album
Beauty Behind The Madness,2015-08-28,14,album
Kiss Land (Deluxe),2013-09-10,12,album
Kiss Land,2013-09-10,10,album
Trilogy,2012-11-13,30,album
Echoes Of Silence (Original),2011-12-21,9,album
Thursday (Original),2011-08-18,9,album
House Of Balloons (Original),2011-03-21,9,album
